name,url,country,revision_id,quality_score
Nhlanhla Lux,https://en.wikipedia.org/wiki/Nhlanhla_Lux,South Africa,1210051518,Stub
Stephanus Jacobus du Toit,https://en.wikipedia.org/wiki/Stephanus_Jacobus_du_Toit,South Africa,1250244949,GA
Elijah Mdolomba,https://en.wikipedia.org/wiki/Elijah_Mdolomba,South Africa,1157964376,Stub
Jennifer Ferguson,https://en.wikipedia.org/wiki/Jennifer_Ferguson,South Africa,1217966345,Start
Frederick Smith (South African politician),https://en.wikipedia.org/wiki/Frederick_Smith_(South_African_politician),South Africa,1236955193,Stub
Benjamin Greenacre,https://en.wikipedia.org/wiki/Benjamin_Greenacre,South Africa,1246187242,Stub
Owen Horwood,https://en.wikipedia.org/wiki/Owen_Horwood,South Africa,1219703595,Start
Danie Hough,https://en.wikipedia.org/wiki/Danie_Hough,South Africa,1139511588,Stub
Henry Charles Hull,https://en.wikipedia.org/wiki/Henry_Charles_Hull,South Africa,1249976624,B
Davidson Don Tengo Jabavu,https://en.wikipedia.org/wiki/Davidson_Don_Tengo_Jabavu,South Africa,1186373019,Start
John William Jagger,https://en.wikipedia.org/wiki/John_William_Jagger,South Africa,1164884865,Start
Christina Jasson,https://en.wikipedia.org/wiki/Christina_Jasson,South Africa,1247391424,Start
Makhosi Khoza,https://en.wikipedia.org/wiki/Makhosi_Khoza,South Africa,1247585467,C
Joel Krige,https://en.wikipedia.org/wiki/Joel_Krige,South Africa,1228754883,Stub
Johannes Christoffel Krogh,https://en.wikipedia.org/wiki/Johannes_Christoffel_Krogh,South Africa,1184919356,Start
Dawid Kruiper,https://en.wikipedia.org/wiki/Dawid_Kruiper,South Africa,1249791603,Start
Cornelis Jacobus Langenhoven,https://en.wikipedia.org/wiki/Cornelis_Jacobus_Langenhoven,South Africa,1244010267,C
Louis le Grange,https://en.wikipedia.org/wiki/Louis_le_Grange,South Africa,1236638243,Start
Maruping Lekwene,https://en.wikipedia.org/wiki/Maruping_Lekwene,South Africa,1233190748,Start
Lindiwe Mabuza,https://en.wikipedia.org/wiki/Lindiwe_Mabuza,South Africa,1242817853,C
Elizabeth Mafekeng,https://en.wikipedia.org/wiki/Elizabeth_Mafekeng,South Africa,1247393179,C
Mmusi Maimane,https://en.wikipedia.org/wiki/Mmusi_Maimane,South Africa,1241103024,GA
Geoff Makhubo,https://en.wikipedia.org/wiki/Geoff_Makhubo,South Africa,1225679410,Start
Mabel Malherbe,https://en.wikipedia.org/wiki/Mabel_Malherbe,South Africa,1246187297,Start
Neo Maneng,https://en.wikipedia.org/wiki/Neo_Maneng,South Africa,1233538182,Stub
Themba Maseko,https://en.wikipedia.org/wiki/Themba_Maseko,South Africa,1246257695,C
Bandile Masuku,https://en.wikipedia.org/wiki/Bandile_Masuku,South Africa,1209123522,C
Qaqambile Matanzima,https://en.wikipedia.org/wiki/Qaqambile_Matanzima,South Africa,1244192469,C
Khayelihle Mathaba,https://en.wikipedia.org/wiki/Khayelihle_Mathaba,South Africa,1084880305,Stub
Thabo Mbeki,https://en.wikipedia.org/wiki/Thabo_Mbeki,South Africa,1249110529,GA
Graham McIntosh,https://en.wikipedia.org/wiki/Graham_McIntosh,South Africa,1229441400,C
Ntombi Mekgwe,https://en.wikipedia.org/wiki/Ntombi_Mekgwe,South Africa,1229205346,GA
Jan Meyer,https://en.wikipedia.org/wiki/Jan_Meyer,South Africa,1236955214,B
